user_id,job_id,user_age,user_gender,user_education,user_experience_level,user_skill_match,job_category,job_salary,job_required_experience,job_company_size,job_location,job_type,session_duration,session_position,clicked,user_click_prob,job_popularity,user_job_history,time_of_day,day_of_week,user_activity_level,job_freshness
103,3,28,1,Master,Senior,0.37077837444034556,Healthcare,92379.58998460302,0.4214951603231176,Large,Chicago,Full-time,137.7234509041704,20,1,0.3483113497761382,0.30614904968648005,4,7,4,0.309238912302441,0.834299204814032
436,459,26,1,Bachelor,Entry,0.18828681948301598,Finance,70179.5123457616,3.610389172380222,Small,Chicago,Contract,109.62041640725296,19,1,0.2753147277932064,0.05865109910151241,5,0,6,0.6744099051969678,0.28002031798215804
861,131,25,0,High School,Senior,0.14429769772838863,Finance,77398.129344749,3.212632978124627,Small,Chicago,Remote,28.42371063367596,7,0,0.3577190790913555,0.07701690005182306,2,22,6,0.3468231401377282,0.4884639384938635
271,220,33,0,High School,Entry,0.3893709343675973,Finance,117294.40222293255,1.1572913078332274,Small,Austin,Full-time,264.81703265918196,4,1,0.4557483737470389,0.21574286786359115,5,11,0,0.4233320941374591,0.6014002402825823
107,362,36,1,Bachelor,Mid,0.2594331125860549,Marketing,77878.0729413636,3.8226684733757015,Small,Chicago,Contract,71.77903939407834,16,1,0.30377324503442193,0.31911932405278604,7,2,0,0.32621641312583144,0.817460828182297
72,443,22,0,Bachelor,Senior,0.4643417266245058,Healthcare,81934.02512181169,2.009764264312028,Medium,Boston,Part-time,661.0807544807492,3,1,0.4857366906498023,0.05035583799695139,4,23,3,0.8348290180945406,0.47366092280794575
701,182,24,0,Master,Entry,0.19817563357927084,Education,88757.41218854327,5.092709083442965,Medium,Austin,Remote,76.10830610449275,17,0,0.37927025343170834,0.4298107502426371,8,5,4,0.21334666743070302,0.6054357165842145
21,28,28,1,High School,Senior,0.13576355820309438,Finance,44233.39646748852,4.829750508568024,Small,San Francisco,Contract,439.0940741492907,6,0,0.25430542328123773,0.18068693403684144,4,21,3,0.6312394399959815,0.644577448764713
615,393,25,0,Master,Senior,0.604294591596596,Finance,71800.17256887912,3.297868585342459,Medium,San Francisco,Remote,128.46742090732494,18,0,0.5417178366386384,0.08462333223790723,5,10,2,0.8319815627476905,0.6292861258988117
122,26,35,1,Master,Mid,0.3649446721413207,Marketing,44222.91162244172,1.6585444800597513,Medium,Austin,Full-time,512.685636592558,14,1,0.34597786885652826,0.14150832436102934,6,22,2,0.8759221149719957,0.7156536707139186
